"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"144","Vrouw","Thuiswonend",5982,3519,1735,7499,3364,3018,7014,32131,FALSE
"145","Vrouw","Thuiswonend",2022,3837,3670,2045,5198,4372,7503,28647,FALSE
"146","Vrouw","Thuiswonend",5219,9176,4873,1979,3431,7989,13041,45708,FALSE
"147","Vrouw","Thuiswonend",0,0,4396,1417,958,0,5201,11972,FALSE
"148","Man","Uitwonend",5789,3469,9087,13456,2356,5374,1729,41260,FALSE
"149",NA,"Thuiswonend",4012,5531,941,3303,8345,3170,3412,28714,FALSE
"150",NA,"Uitwonend",2490,735,2501,5534,4721,2494,4313,22788,FALSE
"151","Vrouw","Uitwonend",667,7268,2259,1898,3502,4105,6739,26438,FALSE
"152","Man","Thuiswonend",3953,4242,1697,1717,3957,3226,5754,24546,FALSE
"153","Man","Thuiswonend",2166,8134,14987,9364,1946,13989,1809,52395,FALSE
"154","Man","Thuiswonend",52214,4596,11650,4883,5463,6531,6302,91639,TRUE
"155","Vrouw","Thuiswonend",2090,1467,3375,2913,3554,2493,2319,18211,FALSE
"156","Vrouw","Thuiswonend",4934,8001,2822,1992,3590,5797,4864,32000,FALSE
"157","Man","Thuiswonend",5081,10818,4618,6124,7079,6699,5681,46100,FALSE
"158","Vrouw","Thuiswonend",558,4515,2979,4476,4465,214,4973,22180,FALSE
"159","Vrouw","Uitwonend",3031,900,3311,11363,2107,804,0,21516,FALSE
"160",NA,"Uitwonend",1324,12,6093,4101,0,0,4808,16338,FALSE
"161","Man","Thuiswonend",4470,2395,573,1385,889,874,1472,12058,FALSE
"162",NA,"Thuiswonend",2497,1308,1663,4654,5954,4616,1111,21803,FALSE
"163","Vrouw","Uitwonend",2886,1891,4276,1197,4183,3414,5428,23275,FALSE
"164","Man","Thuiswonend",8711,1401,12035,2327,11713,2651,3745,42583,FALSE
"165","Vrouw","Thuiswonend",5070,6372,11683,1997,794,7047,573,33536,FALSE
"166","Vrouw","Uitwonend",2652,803,731,745,541,1138,4032,10642,FALSE
"167","Vrouw","Thuiswonend",20315,7181,3337,4047,4844,4498,5598,49820,TRUE
"168","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Vrouw","Thuiswonend",7053,3643,6864,1115,4222,7855,1882,32634,FALSE
"170","Man","Uitwonend",7335,5680,5863,3479,4858,3026,2498,32739,FALSE
"171","Vrouw","Uitwonend",1700,2466,4362,3102,4961,9522,4965,31078,FALSE
"172","Vrouw","Uitwonend",8801,4020,4154,3475,3384,10178,2558,36570,FALSE
"173","Man","Uitwonend",0,0,0,0,0,0,0,0,FALSE
"174","Man","Uitwonend",666,320,1259,557,426,2061,791,6080,FALSE
"175","Man","Thuiswonend",3839,5847,13132,3935,4419,6533,14474,52179,FALSE
"176","Vrouw","Thuiswonend",13014,1509,3404,10546,3488,906,4370,37237,TRUE
"177","Man","Thuiswonend",3957,678,3832,816,3975,707,3147,17112,FALSE
"178","Man","Thuiswonend",408,1471,7364,5114,371,531,524,15783,FALSE
"179","Man","Thuiswonend",3758,5064,8557,1165,4235,2109,7142,32030,FALSE
"180","Vrouw","Uitwonend",1348,526,610,1482,3062,837,1134,8999,FALSE
"181","Man","Uitwonend",1741,6142,4449,3588,1941,4303,6808,28972,FALSE
"182","Vrouw","Thuiswonend",1938,1719,1679,1631,4656,1118,5577,18318,FALSE
"183","Man","Thuiswonend",6814,3749,713,811,0,523,13979,26589,FALSE
"184",NA,"Thuiswonend",6046,1730,2105,152,2324,3732,4260,20349,FALSE
"185","Man","Uitwonend",1593,2588,2255,1411,6527,2190,4591,21155,FALSE
"186",NA,"Uitwonend",1342,7867,8725,4746,9151,5082,5465,42378,FALSE
"187","Man","Uitwonend",2569,5833,4229,4159,2760,1678,5296,26524,FALSE
"188","Vrouw","Thuiswonend",912,3766,4184,6053,4135,2019,3909,24978,FALSE
"189","Man","Thuiswonend",7228,4409,9121,1503,3784,1227,4731,32003,FALSE
"190","Vrouw","Uitwonend",4850,797,5069,7209,2374,3482,6030,29811,FALSE
"191","Man","Thuiswonend",8323,3242,7432,6588,4783,1693,8923,40984,FALSE
"192","Vrouw","Uitwonend",3006,2225,5507,1339,5040,6129,5039,28285,FALSE
"193","Vrouw","Thuiswonend",885,3230,2347,2934,4595,3521,3788,21300,FALSE
